PERMNO;HdrCUSIP;Ticker;PERMCO;DlyCalDt;DlyRet
28310;90478470;UN;21803;10-12-2012;-0.003149
28310;90478470;UN;21803;11-12-2012;0.005528
28310;90478470;UN;21803;12-12-2012;0.005236
28310;90478470;UN;21803;13-12-2012;-0.002344
28310;90478470;UN;21803;14-12-2012;0.005221
28310;90478470;UN;21803;17-12-2012;0
28310;90478470;UN;21803;18-12-2012;0.001818
28310;90478470;UN;21803;19-12-2012;-0.001296
28310;90478470;UN;21803;20-12-2012;0.00571
28310;90478470;UN;21803;21-12-2012;-0.011355
28310;90478470;UN;21803;24-12-2012;-0.001566
28310;90478470;UN;21803;26-12-2012;-0.002876
28310;90478470;UN;21803;27-12-2012;0.001835
28310;90478470;UN;21803;28-12-2012;-0.008898
28310;90478470;UN;21803;31-12-2012;0.011355
28310;90478470;UN;21803;2-1-2013;0.006266
28310;90478470;UN;21803;3-1-2013;-0.007784
28310;90478470;UN;21803;4-1-2013;0.006799
28310;90478470;UN;21803;7-1-2013;-0.005714
28310;90478470;UN;21803;8-1-2013;-0.003657
28310;90478470;UN;21803;9-1-2013;-0.004982
28310;90478470;UN;21803;10-1-2013;0.01054
28310;90478470;UN;21803;11-1-2013;-0.000522
28310;90478470;UN;21803;14-1-2013;-0.000783
28310;90478470;UN;21803;15-1-2013;0.007833
28310;90478470;UN;21803;16-1-2013;0.006995
28310;90478470;UN;21803;17-1-2013;-0.004116
28310;90478470;UN;21803;18-1-2013;-0.000258
28310;90478470;UN;21803;22-1-2013;0.009044
28310;90478470;UN;21803;23-1-2013;0.020999
28310;90478470;UN;21803;24-1-2013;-0.005267
28310;90478470;UN;21803;25-1-2013;0.015129
28310;90478470;UN;21803;28-1-2013;-0.00149
28310;90478470;UN;21803;29-1-2013;0.006468
28310;90478470;UN;21803;30-1-2013;-0.000247
28310;90478470;UN;21803;31-1-2013;0.000742
28310;90478470;UN;21803;1-2-2013;0.006176
28310;90478470;UN;21803;4-2-2013;-0.022833
28310;90478470;UN;21803;5-2-2013;0.010804
28310;90478470;UN;21803;6-2-2013;-0.012337
28310;90478470;UN;21803;7-2-2013;-0.010403
28310;90478470;UN;21803;8-2-2013;0
28310;90478470;UN;21803;11-2-2013;0.000513
28310;90478470;UN;21803;12-2-2013;0.007176
28310;90478470;UN;21803;13-2-2013;-0.001527
28310;90478470;UN;21803;14-2-2013;0.008919
28310;90478470;UN;21803;15-2-2013;-0.007072
28310;90478470;UN;21803;19-2-2013;0.016281
28310;90478470;UN;21803;20-2-2013;-0.004255
28310;90478470;UN;21803;21-2-2013;-0.017345
28310;90478470;UN;21803;22-2-2013;0.00921
28310;90478470;UN;21803;25-2-2013;-0.019772
28310;90478470;UN;21803;26-2-2013;-0.005948
28310;90478470;UN;21803;27-2-2013;0.013788
28310;90478470;UN;21803;28-2-2013;-0.001283
28310;90478470;UN;21803;1-3-2013;0.005396
28310;90478470;UN;21803;4-3-2013;0.007667
28310;90478470;UN;21803;5-3-2013;0.011666
28310;90478470;UN;21803;6-3-2013;-0.002507
28310;90478470;UN;21803;7-3-2013;0.014325
28310;90478470;UN;21803;8-3-2013;0.004708
28310;90478470;UN;21803;11-3-2013;-0.000247
28310;90478470;UN;21803;12-3-2013;-0.006167
28310;90478470;UN;21803;13-3-2013;-0.005212
28310;90478470;UN;21803;14-3-2013;0.005739
